dist,d1609,d1616,d1648,d1636,d1628,h1403,h1604,h1803,h201001,h201604,whitenoise,no_sounds
20,43.8,45.7,45.4,45.1,44.4,46.7,44.5,43.6,46.4,45.2,52.6,29.9
40,38.3,38.6,39.1,38.9,38,39.8,39.8,37.6,40.2,40.3,44.5,32.8
60,37.1,38.4,36.8,38.1,37.1,36.2,36.3,34,37.2,35.8,44.7,28.9
80,35.4,34.4,33.3,32.7,32.8,32.9,31.9,31.2,34.6,32.8,38.9,30.4
100,32.1,32.2,31.3,32.3,32.6,31.6,32.3,30.5,33.3,32.8,36.3,33.3
120,32.5,31.3,31.1,31.8,31,30.8,31.7,33.5,32.4,31.9,32.5,29.6
140,30.6,31.3,30.7,33,32.2,32.7,33.1,29.9,33.7,31.2,31,29.7
160,30.3,30.1,32.5,32.7,31.5,34.3,32.3,31.6,31,33.1,30.2,29.5
180,29.4,30.2,30.3,31.9,31.6,32.9,32.2,31.8,33,30.8,29.6,30.1
200,29.5,32.2,30.3,34.1,29.2,31.4,31.5,32.6,32.5,30.9,30.4,32.5
